2048, 4, 11.6415
2048, 16, 11.6409
2048, 64, 13.32
2048, 256, 12.4113
2048, 1024, 12.5298
2048, 4096, 12.4275
2048, 16384, 12.4056
2048, 65536, 12.4074
2048, 262144, 12.4002
4096, 4, 13.2405
4096, 16, 11.6256
4096, 64, 11.6325
4096, 256, 11.6268
4096, 1024, 11.6328
4096, 4096, 11.6325
4096, 16384, 11.6364
4096, 65536, 11.6385
4096, 262144, 12.2151
8192, 4, 11.6313
8192, 16, 11.6328
8192, 64, 11.6433
8192, 256, 11.6364
8192, 1024, 11.6253
8192, 4096, 11.6262
8192, 16384, 11.6577
8192, 65536, 14.2851
8192, 262144, 11.6442
16384, 4, 11.6466
16384, 16, 11.6583
16384, 64, 11.7027
16384, 256, 11.646
16384, 1024, 11.6418
16384, 4096, 11.6391
16384, 16384, 11.6235
16384, 65536, 11.6211
16384, 262144, 11.6211
32768, 4, 11.6838
32768, 16, 11.6397
32768, 64, 13.1352
32768, 256, 12.5979
32768, 1024, 11.6601
32768, 4096, 14.4711
32768, 16384, 11.5257
32768, 65536, 11.5854
32768, 262144, 11.6259
65536, 4, 11.6382
65536, 16, 11.646
65536, 64, 14.736
65536, 256, 14.7732
65536, 1024, 15.3765
65536, 4096, 18.0981
65536, 16384, 11.6985
65536, 65536, 11.6343
65536, 262144, 11.6289
131072, 4, 11.6358
131072, 16, 11.6469
131072, 64, 15.114
131072, 256, 15.3192
131072, 1024, 15.6786
131072, 4096, 18.1743
131072, 16384, 17.916
131072, 65536, 11.652
131072, 262144, 11.6451
262144, 4, 11.6787
262144, 16, 11.6727
262144, 64, 15.6078
262144, 256, 25.1364
262144, 1024, 35.4015
262144, 4096, 38.0172
262144, 16384, 20.2185
262144, 65536, 17.2584
262144, 262144, 11.6436
524288, 4, 11.706
524288, 16, 11.775
524288, 64, 15.9771
524288, 256, 31.9581
524288, 1024, 41.7228
524288, 4096, 54.549
524288, 16384, 25.4088
524288, 65536, 18.8217
524288, 262144, 11.727
1048576, 4, 11.6913
1048576, 16, 11.7309
1048576, 64, 16.3038
1048576, 256, 32.0613
1048576, 1024, 41.8056
1048576, 4096, 55.9074
1048576, 16384, 44.0319
1048576, 65536, 25.464
1048576, 262144, 17.3472
2097152, 4, 11.7507
2097152, 16, 13.8792
2097152, 64, 16.5816
2097152, 256, 32.0943
2097152, 1024, 42.7455
2097152, 4096, 55.4529
2097152, 16384, 55.824
2097152, 65536, 26.163
2097152, 262144, 19.0443
4194304, 4, 14.862
4194304, 16, 12.1764
4194304, 64, 16.2675
4194304, 256, 34.1172
4194304, 1024, 45.8253
4194304, 4096, 63.8973
4194304, 16384, 65.4948
4194304, 65536, 43.3119
4194304, 262144, 27.3486
8388608, 4, 12.516
8388608, 16, 12.831
8388608, 64, 19.077
8388608, 256, 85.2699
8388608, 1024, 122.543
8388608, 4096, 90.9972
8388608, 16384, 103.796
8388608, 65536, 81.5166
8388608, 262144, 49.6935
16777216, 4, 12.7431
16777216, 16, 13.4289
16777216, 64, 25.0413
16777216, 256, 121.007
16777216, 1024, 173.99
16777216, 4096, 250.53
16777216, 16384, 205.778
16777216, 65536, 116.992
16777216, 262144, 76.392
33554432, 4, 13.1793
33554432, 16, 15.7206
33554432, 64, 41.934
33554432, 256, 129.658
33554432, 1024, 178.32
33554432, 4096, 263.035
33554432, 16384, 290.656
33554432, 65536, 178.842
33554432, 262144, 113.076
67108864, 4, 13.1115
67108864, 16, 15.4374
67108864, 64, 43.6452
67108864, 256, 123.299
67108864, 1024, 177.349
67108864, 4096, 257.105
67108864, 16384, 298.069
67108864, 65536, 299.748
67108864, 262144, 165.623
134217728, 4, 13.2525
134217728, 16, 15.5541
134217728, 64, 44.8011
134217728, 256, 126.561
134217728, 1024, 180.903
134217728, 4096, 254.941
134217728, 16384, 300.914
134217728, 65536, 325.603
134217728, 262144, 262.91
268435456, 4, 13.593
268435456, 16, 16.0167
268435456, 64, 42.4689
268435456, 256, 122.421
268435456, 1024, 180.919
268435456, 4096, 258.4
268435456, 16384, 296.952
268435456, 65536, 329.142
268435456, 262144, 431.227
536870912, 4, 13.3752
536870912, 16, 16.221
536870912, 64, 42.7155
536870912, 256, 134.014
536870912, 1024, 176.383
536870912, 4096, 261.958
536870912, 16384, 299.959
536870912, 65536, 331.645
536870912, 262144, 440.818
