8 3137.40 0.31874 12.26
16 3061.25 0.32666 11.96
32 3061.75 0.32661 11.96
64 2952.10 0.33874 11.53
128 2824.65 0.35403 11.03
256 2666.35 0.37504 10.42
512 2418.50 0.41348 9.45
1024 2242.05 0.44602 8.76
