8 94.65 0.04127
16 98.50 0.03966
32 99.80 0.03914
64 95.90 0.04073
128 90.90 0.04297
256 83.80 0.04661
512 64.50 0.06056
1024 64.00 0.06104
2048 59.60 0.06554
